date,gross_stock_trades,gross_option_trades,gross_trades_value,stock_PL,option_PL,net_PL,cash,stock_pos_value,option_pos_value,net_pos_value,position_value_check
2018-06-25,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-06-26,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-06-27,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-06-28,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-06-29,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-02,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-03,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-05,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-06,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-09,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-10,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-11,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-12,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-13,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-16,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-17,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-18,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-19,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-20,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-23,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-24,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-25,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-26,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-27,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-30,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-07-31,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-01,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-02,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-03,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-06,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-07,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-08,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-09,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-10,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-13,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-14,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-15,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-16,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-17,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-20,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-21,0.0,0.0,0.0,326699.82520582364,-360281.99999999994,-33582.17479417622,9966417.825205823,0.0,0.0,9966417.825205823,9966417.825205823
2018-08-22,51690.88710000009,113760.0,165450.88710000008,326699.82520582364,-360281.99999999994,-33582.17479417622,9904348.712305823,-51690.88710000009,113040.0,9965697.825205823,9965697.825205823
2018-08-23,374011.7725760003,114113.99999999999,488125.7725760003,326699.82520582364,-360281.99999999994,-33582.17479417622,9416222.939729823,322389.52487600024,225164.0,9963776.464605823,9963776.464605823
2018-08-24,2004845.6413360008,0.0,2004845.6413360008,326699.82520582364,-360281.99999999994,-33582.17479417622,11421068.581065824,-1680515.8456920006,227698.0,9968250.735373823,9968250.735373823
2018-08-27,2514954.6608919995,0.0,2514954.6608919995,326699.82520582364,-360281.99999999994,-33582.17479417622,13936023.241957823,-4208738.813668,247970.0,9975254.428289823,9975254.428289823
2018-08-28,159578.0563199991,0.0,159578.0563199991,326699.82520582364,-360281.99999999994,-33582.17479417622,14095601.298277823,-4370350.217472,249780.0,9975031.080805823,9975031.080805823
2018-08-29,1602660.9526200008,162797.0,1765457.9526200008,326699.82520582364,-360281.99999999994,-33582.17479417622,15535465.250897823,-5996527.1273880005,441967.0,9980905.123509824,9980905.123509822
2018-08-30,2280626.6428400003,0.0,2280626.6428400003,326699.82520582364,-360281.99999999994,-33582.17479417622,13254838.608057823,-3691624.71259,433109.0,9996322.895467822,9996322.895467823
2018-08-31,102630.33313800015,0.0,102630.33313800015,326699.82520582364,-360281.99999999994,-33582.17479417622,13357468.941195823,-3794382.211581,411499.99999999994,9974586.729614824,9974586.729614824
2018-09-04,947148.0868709993,0.0,947148.0868709993,326699.82520582364,-360281.99999999994,-33582.17479417622,12410320.854324823,-2840699.0721600014,386494.0,9956115.782164823,9956115.782164821
2018-09-05,1716058.8306050003,0.0,1716058.8306050003,326699.82520582364,-360281.99999999994,-33582.17479417622,10694262.023719825,-1116994.7314750003,372540.0,9949807.292244826,9949807.292244826
2018-09-06,1828368.3417920007,0.0,1828368.3417920007,326699.82520582364,-360281.99999999994,-33582.17479417622,8865893.681927824,714735.8405920002,374471.0,9955100.522519825,9955100.522519825
2018-09-07,1394905.7571599996,0.0,1394905.7571599996,326699.82520582364,-360281.99999999994,-33582.17479417622,7470987.924767824,2108252.6052800003,357327.0,9936567.530047825,9936567.530047825
2018-09-10,1049577.4845299993,0.0,1049577.4845299993,326699.82520582364,-360281.99999999994,-33582.17479417622,8520565.409297824,1062340.372150001,321603.0,9904508.781447824,9904508.781447824
2018-09-11,2270122.7954700007,0.0,2270122.7954700007,326699.82520582364,-360281.99999999994,-33582.17479417622,10790688.204767825,-1204279.3918950004,304740.0,9891148.812872825,9891148.812872825
2018-09-12,821277.1342880002,85860.00000000001,907137.1342880002,330589.9139258232,-388181.99999999994,-57592.08607417668,8721725.887119824,950251.2822400001,204638.00000000003,9876615.169359824,9876615.169359824
2018-09-13,2186998.324496,99554.0,2286552.324496,320641.0710218237,-402741.99999999994,-82100.92897817619,8834066.111737825,943085.3180419997,102570.0,9879721.429779824,9879721.429779824
2018-09-14,15932.341152000285,56753.0,72685.34115200028,320641.0710218237,-402741.99999999994,-82100.92897817619,8793245.452889824,927315.1137599994,151558.0,9872118.566649824,9872118.566649824
2018-09-17,2865298.778388,0.0,2865298.778388,320641.0710218237,-402741.99999999994,-82100.92897817619,5927946.674501825,3787704.426817999,171022.0,9886673.101319825,9886673.101319823
2018-09-18,2519086.56303,0.0,2519086.56303,320641.0710218237,-402741.99999999994,-82100.92897817619,8447033.237531824,1289170.4868270005,147396.0,9883599.724358825,9883599.724358825
2018-09-19,2335138.9207659997,48946.0,2384084.9207659997,356643.8574338249,-485586.99999999994,-128943.14256617492,9363876.519217826,324754.9731479999,180323.0,9868954.492365826,9868954.492365826
2018-09-20,2589532.7827320006,0.0,2589532.7827320006,356643.8574338249,-485586.99999999994,-128943.14256617492,11953409.301949825,-2262146.0475600003,200806.0,9892069.254389824,9892069.254389824
2018-09-21,267306.15816600004,0.0,267306.15816600004,356643.8574338249,-485586.99999999994,-128943.14256617492,11686103.143783826,-1982588.3320140005,193458.0,9896972.811769826,9896972.811769826
2018-09-24,1094664.8037240005,0.0,1094664.8037240005,356643.8574338249,-485586.99999999994,-128943.14256617492,10591438.340059826,-881337.3072479998,184284.00000000003,9894385.032811826,9894385.032811826
2018-09-25,300859.9008499996,0.0,300859.9008499996,356643.8574338249,-485586.99999999994,-128943.14256617492,10290578.439209826,-579659.7269500002,178578.0,9889496.712259825,9889496.712259825
2018-09-26,1047815.4667000001,0.0,1047815.4667000001,356643.8574338249,-485586.99999999994,-128943.14256617492,9242762.972509826,469890.233172,174464.0,9887117.205681825,9887117.205681825
2018-09-27,969206.5634339999,0.0,969206.5634339999,356643.8574338249,-485586.99999999994,-128943.14256617492,10211969.535943825,-498003.33492299996,164653.0,9878619.201020826,9878619.201020826
2018-09-28,59580.79638400026,0.0,59580.79638400026,356643.8574338249,-485586.99999999994,-128943.14256617492,10271550.332327826,-557635.5266080003,155298.0,9869212.805719826,9869212.805719826
2018-10-01,1367164.493055,0.0,1367164.493055,356643.8574338249,-485586.99999999994,-128943.14256617492,11638714.825382825,-1926737.3197520003,151833.0,9863810.505630825,9863810.505630825
2018-10-02,209668.02668800048,0.0,209668.02668800048,356643.8574338249,-485586.99999999994,-128943.14256617492,11429046.798694825,-1715946.5242559998,146744.99999999997,9859845.274438825,9859845.274438825
2018-10-03,246572.8001879998,0.0,246572.8001879998,356643.8574338249,-485586.99999999994,-128943.14256617492,11675619.598882824,-1963460.98806,144151.0,9856309.610822825,9856309.610822825
2018-10-04,3201339.571344,0.0,3201339.571344,356643.8574338249,-485586.99999999994,-128943.14256617492,8474280.027538825,1253224.4322240006,159868.0,9887372.459762825,9887372.459762825
2018-10-05,343310.6310659994,44290.0,387600.6310659994,373392.60946282494,-498049.99999999994,-124657.39053717493,7224852.629786825,2539927.5141239995,121736.99999999999,9886517.143910825,9886517.143910825
2018-10-08,372151.08730800013,0.0,372151.08730800013,373392.60946282494,-498049.99999999994,-124657.39053717493,6852701.542478825,2912078.601432,111111.00000000001,9875891.143910825,9875891.143910825
2018-10-09,534839.6453399996,0.0,534839.6453399996,373392.60946282494,-498049.99999999994,-124657.39053717493,6317861.897138825,3442668.809579999,111573.0,9872103.706718825,9872103.706718825
2018-10-10,517904.91752999957,293832.0,811736.9175299995,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-11,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-12,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-15,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-16,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-17,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-18,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-19,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-22,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-23,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-24,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-25,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-26,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-29,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-30,0.0,0.0,0.0,278472.83974882466,-333116.0,-54643.16025117524,9945356.839748824,0.0,0.0,9945356.839748824,9945356.839748824
2018-10-31,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-01,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-02,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-05,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-06,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-07,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-08,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-09,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-12,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-13,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-14,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-15,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-16,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-19,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-20,0.0,0.0,0.0,269489.77744102466,-333116.0,-63626.22255897524,9936373.777441025,0.0,0.0,9936373.777441025,9936373.777441025
2018-11-21,29152.33251000001,112195.0,141347.33251,269489.77744102466,-333116.0,-63626.22255897524,9853331.109951025,-29152.33251000001,111435.0,9935613.777441025,9935613.777441025
