date,gross_trades_value,stock_PL,option_PL,net_PL,cash,position_value
2020-03-12,340690.5904500001,-967875.1363906858,994689.0,26813.86360931379,10177901.273159314,10023663.863609314
2020-03-13,609949.0414079999,-967875.1363906858,994689.0,26813.86360931379,9567952.231751313,10038320.098559313
2020-03-16,910484.3625149999,-967875.1363906858,994689.0,26813.86360931379,10478436.594266314,9939929.857341314
2020-03-17,913016.59456,-967875.1363906858,994689.0,26813.86360931379,9976035.999706313,9967142.051866313
2020-03-18,988428.064,-967875.1363906858,994689.0,26813.86360931379,10964464.063706314,9951389.327706315
2020-03-19,95550.79621199977,-967875.1363906858,994689.0,26813.86360931379,11060014.859918313,10022662.398517314
2020-03-20,1496179.1142400003,-967875.1363906858,994689.0,26813.86360931379,12556193.974158313,10114621.669038313
2020-03-23,1227440.5275749997,-967875.1363906858,994689.0,26813.86360931379,13783634.501733314,10190027.625703314
2020-03-24,4338962.08062,-967875.1363906858,994689.0,26813.86360931379,9779490.421113314,9925348.549023313
2020-03-25,946091.8106320001,-967875.1363906858,994689.0,26813.86360931379,9169284.610481314,9798599.664119314
2020-03-26,3173901.9978799997,-967875.1363906858,994689.0,26813.86360931379,6286470.612601314,9704287.981121313
2020-03-27,1685185.5864759998,-967875.1363906858,994689.0,26813.86360931379,7971656.199077314,9715693.181783313
2020-03-30,2829458.2999449996,-967875.1363906858,994689.0,26813.86360931379,5426397.899132314,9898602.171672314
2020-03-31,908379.1502249999,-967875.1363906858,994689.0,26813.86360931379,6334777.049357315,10054907.798032314
2020-04-01,4496524.744875,-967875.1363906858,994689.0,26813.86360931379,10831301.794232314,9971688.507112315
2020-04-02,2985831.083226,-1153680.3439576856,1143495.0,-10185.343957686091,8475949.428326312,10100178.349928312
2020-04-03,1618163.06064,-1153680.3439576856,1143495.0,-10185.343957686091,10094112.488966312,10269459.360512313
2020-04-06,7108227.701866,-1216257.9930526856,1233325.0,17067.0069473138,3677239.177710314,9938121.043290315
2020-04-07,740801.8590900003,-1322183.1301546858,1337275.0,15091.869845313642,4166823.150264313,9932806.603600312
2020-04-08,3352243.3271729993,-1322963.3611626858,1343707.0,20743.63883731358,1198725.054211315,9913866.399680313
2020-04-09,1481013.51262,-1214913.2046936858,1212968.0,-1945.2046936863007,1537464.0618913136,9922797.582071312
2020-04-13,496912.24459999934,-1078283.6956006857,1036036.0,-42247.69560068623,3311912.012549314,10022962.206725314
2020-04-14,3146442.179362,-1009237.2082126857,968833.0,-40404.20821268618,1538512.288426314,10022748.005893314
2020-04-15,2218689.1591039994,-996443.8700956857,971689.0,-24754.870095686183,4726700.205930314,10004973.551274315
2020-04-16,725657.2308799999,-1025384.3885716856,1016677.0,-8707.388571686115,4964143.392650314,10015915.802220315
2020-04-17,3042086.9288159995,-986416.9989676855,1007317.0,20900.001032313994,3061851.3012103136,10016351.228978314
2020-04-20,2076720.6783189997,-1010062.2830496854,1032846.0,22783.716950314098,5889534.459118314,9971021.186293313
2020-04-21,2834193.061896,-1049100.2671996853,1062996.0,13895.732800314114,9857674.927814314,9969540.360918313
2020-04-22,2771193.3214500006,-1010730.3926436855,1036060.0,25329.607356314016,8290829.030644313,10013425.931474313
2020-04-23,179653.7707719999,-997473.3414936858,1022860.0,25386.658506313655,9285286.253216313,10072091.067848314
2020-04-24,2372549.2652220004,-997473.3414936858,1022860.0,25386.658506313655,7063900.987994313,10187579.912154313
2020-04-27,2122451.48249,-982186.072197686,1019020.0,36833.92780231354,5648785.714944312,10233308.290394314
2020-04-28,842817.6151460002,-972561.511241686,1027346.0,54784.48875831357,7362876.379162313,10233404.521714313
2020-04-29,4040647.108645,-965703.792652686,1038088.0,72384.2073473135,4009101.9902823134,10196109.976466313
2020-04-30,1724108.91928,-987010.33024073,1065888.0,78877.66975926951,6177656.055014269,10152583.54648627
2020-05-01,4160342.0446280004,-987010.33024073,1065888.0,78877.66975926951,10337998.099642271,10122301.481320271
